onesoil_table;description_en;description_ru
customers;This dataset has information about the customer and its location. Use it to identify unique customers in the orders dataset and to find the orders delivery location. At our system each order is assigned to a unique customerid. This means that the same customer will get different ids for different orders. The purpose of having a customerunique_id on the dataset is to allow you to identify customers that made repurchases at the store. Otherwise you would find that each order had a different customer associated with. Please refer to the data schema:;Этот набор данных содержит сведения о клиенте и его местоположении. Используйте его для идентификации уникальных клиентов в наборе данных заказов и поиска места доставки заказов. В нашей системе каждый заказ присваивается уникальному клиенту. Это означает, что один и тот же клиент получит разные идентификаторы для разных заказов. Цель наличия customerunique_id в наборе данных — позволить вам идентифицировать клиентов, которые совершили выкуп в магазине. В противном случае вы обнаружите, что у каждого заказа был разный клиент. Пожалуйста, обратитесь к схеме данных:
geolocation;This dataset has information Brazilian zip codes and its lat/lng coordinates. Use it to plot maps and find distances between sellers and customers.;Этот набор данных содержит информацию о почтовых индексах Бразилии и его координатах лат/спг. Используйте его для построения карт и поиска расстояний между продавцами и клиентами.
order_items;This dataset includes data about the items purchased within each order. Example: The order_id = 00143d0f86d6fbd9f9b38ab440ac16f5 has 3 items (same product). Each item has the freight calculated accordingly to its measures and weight. To get the total freight value for each order you just have to sum. The total order_item value is: 21.33 * 3 = 63.99  , The total freight value is: 15.10 * 3 = 45.30,  The total order value (product + freight) is: 45.30 + 63.99 = 109.29 ,;Этот набор данных включает данные о товарах, приобретенных в рамках каждого заказа. Пример: order_id = 00143d0f86d6fbd9f9b38ab440ac16f5 имеет 3 элемента (один и тот же продукт). Каждый груз имеет груз, рассчитанный в соответствии с его мерами и весом. Чтобы получить общую стоимость фрахта для каждого заказа, вам просто нужно суммировать. Общее значение order_item составляет: 21,33 * 3 = 63,99 , Общая стоимость фрахта составляет: 15,10 * 3 = 45,30,  Общая стоимость заказа (товар + фрахт) составляет: 45,30 + 63,99 = 109,29 ,
order_payments;This dataset includes data about the orders payment options.;Этот набор данных включает данные о способах оплаты заказов.
order_reviews;This dataset includes data about the reviews made by the customers. After a customer purchases the product from Olist Store a seller gets notified to fulfill that order. Once the customer receives the product, or the estimated delivery date is due, the customer gets a satisfaction survey by email where he can give a note for the purchase experience and write down some comments.;Этот набор данных включает данные об отзывах, сделанных клиентами. После того, как клиент покупает продукт в магазине Olist, продавец получает уведомление о выполнении этого заказа. Как только клиент получает продукт или предполагаемая дата доставки должна быть, клиент получает опрос удовлетворенности по электронной почте, где он может дать заметку об опыте покупки и записать некоторые комментарии.
orders;This is the core dataset. From each order you might find all other information.;Это основной набор данных. Из каждого заказа вы можете найти всю другую информацию.
products;This dataset includes data about the products sold by Olist.;Этот набор данных включает данные о продуктах, продаваемых Olist.
sellers;This dataset includes data about the sellers that fulfilled orders made at Olist. Use it to find the seller location and to identify which seller fulfilled each product.;Этот набор данных включает в себя данные о продавцах, которые выполнили заказы, сделанные в Olist. Используйте его, чтобы найти местоположение продавца и определить, какой продавец выполнил каждый продукт.
product_category_name_translation;Translates the product category name to english.;Переводит название категории продукта на английский язык.
closed_deals;After a qualified lead fills in a form at a landing page he is contacted by a Sales Development Representative. At this step some information is checked and more information about the lead is gathered.;После того, как квалифицированный лид заполняет форму на целевой странице, с ним связывается представитель по развитию продаж. На этом этапе проверяется некоторая информация и собирается больше информации о лиде.
marketing_qualified_leads;After a lead fills in a form at a landing page, a filter is made to select the ones that are qualified to sell their products at Olist. They are the Marketing Qualified Leads (MQLs).;После того, как лид заполняет форму на целевой странице, делается фильтр для выбора тех, кто квалифицирован для продажи своих продуктов в Olist. Это квалифицированные маркетинговые лиды (MQL).
